Name,Version Count
pandoc,142
pandoc-citeproc,94
pandoc-csv2table,9
pandoc-markdown-ghci-filter,1
pandoc-pyplot,21
pandoc-types,56
pantry,7
parallel,20
parallel-io,12
paripari,8
parseargs,16
parsec,21
parsec-class,1
parsec-numbers,7
parsec-numeric,1
ParsecTools,1
parser-combinators,12
parser-combinators-tests,4
parsers,38
partial-handler,6
partial-isomorphisms,4
partial-semigroup,13
password,3
password-instances,5
path,23
path-extra,12
path-io,20
path-pieces,10
path-text-utf8,5
pathtype,17
pathwalk,9
pattern-arrows,2
pcf-font,5
pcf-font-embed,3
pcg-random,11
pcre-heavy,10
pcre-light,12
pcre-utils,14
pdfinfo,12
peano,2
pedersen-commitment,2
pem,8
pencil,6
percent-format,1
peregrin,4
perfect-hash-generator,13
persist,6
persistable-record,29
persistable-types-HDBC-pg,14
persistent,140
persistent-iproute,4
persistent-mysql,54
persistent-mysql-haskell,17
persistent-pagination,3
persistent-postgresql,93
persistent-qq,3
persistent-sqlite,86
persistent-template,103
persistent-typed-db,4
pg-harness-client,5
pg-harness-server,8
pgp-wordlist,4
pg-transact,9
phantom-state,7
pid1,4
pinboard,50
pipes,41
pipes-aeson,14
pipes-attoparsec,15
pipes-binary,13
pipes-bytestring,13
pipes-category,5
pipes-concurrency,17
pipes-csv,8
pipes-extras,16
pipes-fastx,1
pipes-fluid,9
pipes-group,13
pipes-http,7
pipes-misc,13
pipes-network,19
pipes-network-tls,6
pipes-parse,14
pipes-random,6
pipes-safe,20
pipes-wai,4
pkcs10,8
placeholders,1
planb-token-introspection,5
plotlyhs,3
pointed,31
pointedlist,17
pointless-fun,4
poll,2
poly,7
poly-arity,10
polynomials-bernstein,4
polyparse,16
polysemy,23
polysemy-plugin,13
polysemy-zoo,13
pooled-io,8
port-utils,7
posix-paths,14
possibly,2
postgresql-binary,34
postgresql-libpq,28
postgresql-orm,13
postgresql-schema,13
postgresql-simple,69
postgresql-simple-migration,16
postgresql-simple-queue,12
postgresql-simple-url,4
postgresql-transactional,2
postgresql-typed,19
post-mess-age,3
pptable,4
pqueue,14
prefix-units,4
prelude-compat,4
prelude-safeenum,5
present,11
pretty,17
prettyclass,1
pretty-class,3
pretty-hex,2
prettyprinter,17
prettyprinter-ansi-terminal,8
prettyprinter-compat-annotated-wl-pprint,3
prettyprinter-compat-ansi-wl-pprint,4
prettyprinter-compat-wl-pprint,3
prettyprinter-convert-ansi-wl-pprint,1
pretty-show,38
pretty-simple,28
pretty-sop,6
pretty-types,13
primes,5
primitive,24
primitive-extras,39
prim-uniq,2
probability,13
process,29
process-extras,28
product-isomorphic,6
product-profunctors,11
profiterole,1
profunctors,40
projectroot,3
project-template,12
prometheus-client,6
promises,4
prompt,5
prospect,1
protobuf,13
protobuf-simple,7
protocol-buffers,60
protocol-buffers-descriptor,53
protocol-radius,2
protocol-radius-test,3
proto-lens,19
proto-lens-arbitrary,16
proto-lens-optparse,12
proto-lens-protobuf-types,10
proto-lens-protoc,23
proto-lens-runtime,5
proto-lens-setup,4
protolude,17
proxied,5
psql-helpers,1
psqueues,19
pureMD5,21
purescript-bridge,28
pure-zlib,11
pushbullet-types,6
pusher-http-haskell,30
qchas,5
qm-interpolated-string,5
qnap-decrypt,6
qrcode-core,4
qrcode-juicypixels,1
quadratic-irrational,7
QuasiText,6
quickbench,1
QuickCheck,56
quickcheck-arbitrary-adt,4
